Event Name,Format,Organizer,Start Date,City,Country,Description,URL
Secure AI 2025,In Person,secureai.se,2025-09-23,Stockholm,Sweden,SecureAI.se is dedicated to advancing the safety and security of artificial intelligence. Our mission is to unite global experts and AI builders to address the challenges and opportunities in building secure and trustworthy AI systems.,https://secureai.se
National Cyber Summit,In Person,National Cyber Summit,2025-09-23,Huntsville,United States,"The National Cyber Summit is the nation’s most innovative cyber security-technology event, offering unique educational, collaborative and workforce development opportunities for industry visionaries and rising leaders. NCS offers more value than similar cyber conferences with diverse focus-areas, premier speakers, and unmatched accessibility. Our core focus is on three things: education, collaboration and innovation.",https://www.nationalcybersummit.com/Home
OWASP AppSec Days France 2025,In Person,OWASP,2025-09-23,Paris,France,"OWASP AppSec Days France 2025 is a conference on application security, welcoming topics for IT professionals specializing in security, as well as development, testing, operation, management, and governance. The event will take place on Tuesday, September 23, 2025, featuring a series of technical and non-technical conferences in the field of application security.",https://www.owaspappsecdays.fr/2025/
BSides Edmonton 2025,In Person,BSides Edmonton,2025-09-22,Edmonton,Canada,"BSides Edmonton is an annual Cyber Security Conference in the City of Edmonton. Our event is a two-day high-calibre conference focused on all aspects of Cyber Security. Security BSides is a community-driven Cyber Security Conference by cybersecurity community members. The goal is to expand the spectrum of conversation beyond the traditional confines of space and time. It creates opportunities for individuals to both present and participate in an intimate atmosphere that encourages collaboration. It is an intense event with discussions, demos, and interaction from participants. It is where conversations for the next-big-thing are happening.",https://www.bsidesedmonton.org/
NDC TechTown 2025,In Person,NDC,2025-09-22,Kongsberg,Norway,"NDC TechTown is a software conference for embedded and systems programming held from September 22-25, 2025, at Magazinet Kongsberg. The event features 62 sessions, 52 speakers, and 11 workshops. Early bird tickets are available until June 3rd.",https://ndctechtown.com/
The Official Cybersecurity Summit: Atlanta,In Person,Cybersecurity Summit,2025-09-19,Atlanta,United States,"The 13th Edition of the Atlanta Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/atlanta25-sept/
ERTL-YANG Leader Summit 2025 | Milan,In Person,ERTL-YANG,2025-09-18,Milan,Italy,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. Attendees can network, share insights, and collaborate on challenges including funding strategies and partnerships. The summit includes thought leadership sessions, professional networking, and private breakout roundtables.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-milan/overview
Conf42: MLOps 2025,Virtual,Conf42,2025-09-18,London,United Kingdom,"Conf42 MLOps 2025 is an online event taking place on September 18, 2025. Learn for free, join the best tech learning community.",https://www.conf42.com/mlops2025
CISO Middle East Summit 2025,In Person,EXE,2025-09-18,Dubai,United Arab Emirates,"The CISO Middle East Summit 2025 (UAE Edition – Dubai) is set to be one of the most influential cybersecurity events in the region, bringing together leading experts, decision-makers, and innovators in the cybersecurity landscape. Taking place in Dubai, this exclusive summit offers a unique platform for Chief Information Security Officers (CISOs), cybersecurity professionals, and industry leaders to explore the latest trends, challenges, and opportunities in the world of information security.",https://exeglobe.com/ciso-middle-east-summit-2025/
CIOMeet 2025: Philadelphia,In Person,CXO Inc.,2025-09-18,Philadelphia,United States,"CIOMeet events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. The events unite a community of IT leaders to exchange practices and forge new partnerships in their IT community.",https://www.ciomeet.org/
entwickler Summit,In Person,entwickler.de,2025-09-18,Berlin,Germany,"Der entwickler Summit verbindet drei Jahrzehnte Softwareentwicklung mit der Zukunft des Software Engineerings – ein zentraler Treffpunkt, um Wissen zu teilen, Trends zu diskutieren und die Softwarebranche von morgen zu gestalten.",https://entwickler-summit.de/
CIO NetworX New York,In Person,CIO NetworX,2025-09-18,New York City,United States,"CIO NetworX New York offers a uniquely curated evening for senior IT executives and technology decision-makers. This exclusive forum encourages genuine connections, strategic exchange, and actionable conversations. The experience includes pre-scheduled networking, executive car service, gourmet canapés, and a private insight dinner. Attendees can also enter to win premium tech prizes.",https://cxo-institute.com/our-events/cio-networx-new-york-sept-2025/
CISO 360 Latin America,In Person,Pulse conferences,2025-09-17,Mexico City,Mexico,"CISO 360 Latin America will bring together CISOs, Chief Security Officers, and international security leaders from across Central and South America and beyond for imperative discussions on leadership, AI, cybercrime, governance, and more. Attendees will share strategies, benchmark roadmaps, and engage with security leaders and innovators.",https://www.pulseconferences.com/conference/ciso-360-latam-congress/
Defenders Tour: SecOps Workshop - Seattle,In Person,LimaCharlie,2025-09-17,Seattle,United States,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform, enhance email threat protection with Sublime Security's behavioral analysis, and orchestrate security workflows through Tines' no-code automation platform. The event is geared toward seasoned security engineers from enterprise SOCs and MSSPs.",https://lu.ma/defenders-tour-seattle
